"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG"
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2011";26,8;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2010";22,7;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2009";21,4;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2008";21,9;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2007";20,6;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2006";18,5;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2005";16,3;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2004";14,6;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2003";13,4;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2002";11,9;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2001";10,6;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2000";10,6;"b"
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2014";26,5;"b"
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2013";26;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2012";24,9;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2011";23,4;"b"
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2010";22,1;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2009";21,9;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2008";21;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2007";20,8;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2006";20,7;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2005";17,6;"b"
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2004";17,6;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2003";13,7;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2002";9,3;NA
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2001";12,9;"u"
"ED5-8";"PC";"Y30-34";"T";"MT";"A";"2000";7,4;"u"
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2014";31,5;"b"
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2013";34,3;"b"
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2012";32,6;NA
