"INDIC_ED";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"R05_2";"IT";"A";"2003";44,2;NA;NA
"R05_2";"IT";"A";"2002";42,9;NA;NA
"R05_2";"IT";"A";"2001";41,1;NA;NA
"R05_2";"IT";"A";"2000";38,8;NA;NA
"R05_2";"IT";"A";"1999";37,8;NA;NA
"R05_2";"IT";"A";"1998";37,2;NA;NA
"R05_2";"ITC4";"A";"2012";45,4;NA;NA
"R05_2";"ITC4";"A";"2011";46,2;NA;NA
"R05_2";"ITC4";"A";"2010";46,1;NA;NA
"R05_2";"ITC4";"A";"2009";45,1;NA;NA
"R05_2";"ITC4";"A";"2008";45,4;NA;NA
"R05_2";"ITC4";"A";"2007";45,1;NA;NA
"R05_2";"ITC4";"A";"2006";NA;"na";"u"
"R05_2";"ITC4";"A";"2005";42,4;NA;NA
"R05_2";"ITC4";"A";"2004";43;NA;NA
"R05_2";"ITC4";"A";"2003";42,3;NA;NA
"R05_2";"ITC4";"A";"2002";40,6;NA;NA
"R05_2";"ITC4";"A";"2001";38,5;NA;NA
"R05_2";"ITC4";"A";"2000";36,3;NA;NA
"R05_2";"ITC4";"A";"1999";35,3;NA;NA
"R05_2";"ITC4";"A";"1998";34,6;NA;NA
"R05_2";"ITH";"A";"2012";48,4;NA;NA
"R05_2";"ITH";"A";"2011";48,8;NA;"b"
"R05_2";"ITH";"A";"2010";49,4;NA;NA
"R05_2";"ITH";"A";"2009";48,6;NA;NA
"R05_2";"ITH";"A";"2008";50,2;NA;NA
"R05_2";"ITH";"A";"2007";49;NA;NA
"R05_2";"ITH";"A";"2006";NA;"na";"u"
"R05_2";"ITH";"A";"2005";45,6;NA;NA
"R05_2";"ITH";"A";"2004";44,6;NA;NA
"R05_2";"ITH";"A";"2003";43,8;NA;NA
"R05_2";"ITH";"A";"2002";42,1;NA;NA
"R05_2";"ITH";"A";"2001";40,5;NA;NA
"R05_2";"ITH";"A";"2000";37,6;NA;NA
"R05_2";"ITH";"A";"1999";33,2;NA;NA
"R05_2";"ITH";"A";"1998";32,5;NA;NA
"R05_2";"ITH1";"A";"2012";45,9;NA;NA
"R05_2";"ITH1";"A";"2011";47,9;NA;NA
"R05_2";"ITH1";"A";"2010";43,1;NA;NA
"R05_2";"ITH1";"A";"2009";44,1;NA;NA
"R05_2";"ITH1";"A";"2008";44,8;NA;NA
"R05_2";"ITH1";"A";"2007";44,2;NA;NA
"R05_2";"ITH1";"A";"2006";NA;"na";"u"
"R05_2";"ITH1";"A";"2005";38,4;NA;NA
"R05_2";"ITH1";"A";"2004";37,6;NA;NA
"R05_2";"ITH1";"A";"2003";37,1;NA;NA
"R05_2";"ITH1";"A";"2002";NA;"na";NA
"R05_2";"ITH1";"A";"2001";NA;"na";NA
"R05_2";"ITH1";"A";"2000";NA;"na";NA
"R05_2";"ITH1";"A";"1999";NA;"na";NA
"R05_2";"ITH1";"A";"1998";NA;"na";NA
"R05_2";"ITH2";"A";"2012";50,2;NA;NA
"R05_2";"ITH2";"A";"2011";49,9;NA;NA
"R05_2";"ITH2";"A";"2010";50,3;NA;NA
"R05_2";"ITH2";"A";"2009";50,6;NA;NA
"R05_2";"ITH2";"A";"2008";49,5;NA;NA
"R05_2";"ITH2";"A";"2007";49,3;NA;NA
"R05_2";"ITH2";"A";"2006";NA;"na";"u"
"R05_2";"ITH2";"A";"2005";46,4;NA;NA
"R05_2";"ITH2";"A";"2004";46,3;NA;NA
"R05_2";"ITH2";"A";"2003";41;NA;NA
"R05_2";"ITH2";"A";"2002";NA;"na";NA
"R05_2";"ITH2";"A";"2001";NA;"na";NA
"R05_2";"ITH2";"A";"2000";NA;"na";NA
"R05_2";"ITH2";"A";"1999";NA;"na";NA
