"UNIT";"LANDUSE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"KM2";"TOTAL";"ES13";"A";"1996";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1995";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1994";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1993";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1992";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1991";NA;"na";NA
"KM2";"TOTAL";"ES13";"A";"1990";NA;"na";NA
"KM2";"TOTAL";"ITH1";"A";"2014";7398;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2013";7398;NA;"b"
"KM2";"TOTAL";"ITH1";"A";"2012";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2011";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2010";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2009";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2008";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2007";7399,9;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2006";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2005";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2004";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2003";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2002";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2001";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"2000";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1999";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1998";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1997";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1996";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1995";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1994";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1993";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1992";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1991";7400;NA;NA
"KM2";"TOTAL";"ITH1";"A";"1990";7400;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2014";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2013";6207;NA;"b"
"KM2";"TOTAL";"ITH2";"A";"2012";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2011";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2010";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2009";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2008";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2007";6206,9;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2006";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2005";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2004";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2003";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2002";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2001";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"2000";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1999";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1998";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1997";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1996";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1995";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1994";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1993";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1992";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1991";6207;NA;NA
"KM2";"TOTAL";"ITH2";"A";"1990";6218;NA;NA
"KM2";"TOTAL";"MT00";"A";"2014";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2013";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2012";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2011";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2010";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2009";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2008";316;NA;NA
"KM2";"TOTAL";"MT00";"A";"2007";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2006";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2005";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2004";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2003";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2002";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2001";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"2000";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1999";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1998";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1997";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1996";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1995";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1994";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1993";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1992";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1991";315,6;NA;NA
"KM2";"TOTAL";"MT00";"A";"1990";315,6;NA;NA
"KM2";"TOTAL";"NL12";"A";"2014";5749;NA;NA
"KM2";"TOTAL";"NL12";"A";"2013";5748,8;NA;NA
"KM2";"TOTAL";"NL12";"A";"2012";5748,8;NA;NA
"KM2";"TOTAL";"NL12";"A";"2011";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2010";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2009";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2008";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2007";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2006";5748,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"2005";5741;NA;NA
"KM2";"TOTAL";"NL12";"A";"2004";5740,9;NA;NA
"KM2";"TOTAL";"NL12";"A";"2003";5740,9;NA;NA
"KM2";"TOTAL";"NL12";"A";"2002";5740,9;NA;NA
"KM2";"TOTAL";"NL12";"A";"2001";5740,9;NA;NA
