"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"MT";"A";"1997";6,8;NA
"MT";"A";"1996";10,9;NA
"MT";"A";"1995";8,9;NA
"MT";"A";"1994";9,1;NA
"MT";"A";"1993";8,2;NA
"MT";"A";"1992";10,8;NA
"MT";"A";"1991";9,6;NA
"MT";"A";"1990";9,1;NA
"NL12";"A";"2014";4,3;NA
"NL12";"A";"2013";6,1;NA
"NL12";"A";"2012";4,9;NA
"NL12";"A";"2011";5,1;NA
"NL12";"A";"2010";4,4;NA
"NL12";"A";"2009";4,5;NA
"NL12";"A";"2008";4,7;NA
"NL12";"A";"2007";4,1;NA
"NL12";"A";"2006";4,8;NA
"NL12";"A";"2005";5;NA
"NL12";"A";"2004";5,4;NA
"NL12";"A";"2003";6,4;NA
"NL12";"A";"2002";6,1;NA
"NL12";"A";"2001";5,6;NA
"NL12";"A";"2000";NA;"na"
"NL12";"A";"1999";NA;"na"
"NL12";"A";"1998";NA;"na"
"NL12";"A";"1997";NA;"na"
"NL12";"A";"1996";NA;"na"
"NL12";"A";"1995";NA;"na"
"NL12";"A";"1994";NA;"na"
"NL12";"A";"1993";NA;"na"
"NL12";"A";"1992";NA;"na"
"NL12";"A";"1991";NA;"na"
"NL12";"A";"1990";NA;"na"
"NL13";"A";"2014";3;NA
"NL13";"A";"2013";3,1;NA
"NL13";"A";"2012";3,2;NA
"NL13";"A";"2011";3,9;NA
"NL13";"A";"2010";4,2;NA
"NL13";"A";"2009";4,2;NA
"NL13";"A";"2008";2,2;NA
"NL13";"A";"2007";3,1;NA
"NL13";"A";"2006";2,6;NA
"NL13";"A";"2005";4,7;NA
"NL13";"A";"2004";5,1;NA
"NL13";"A";"2003";5,3;NA
"NL13";"A";"2002";6,1;NA
"NL13";"A";"2001";5,3;NA
"NL13";"A";"2000";NA;"na"
"NL13";"A";"1999";NA;"na"
"NL13";"A";"1998";NA;"na"
"NL13";"A";"1997";NA;"na"
"NL13";"A";"1996";NA;"na"
"NL13";"A";"1995";NA;"na"
"NL13";"A";"1994";NA;"na"
"NL13";"A";"1993";NA;"na"
"NL13";"A";"1992";NA;"na"
"NL13";"A";"1991";NA;"na"
"NL13";"A";"1990";NA;"na"
"NL34";"A";"2014";1,9;NA
"NL34";"A";"2013";3,4;NA
"NL34";"A";"2012";3;NA
"NL34";"A";"2011";2,7;NA
"NL34";"A";"2010";3,2;NA
"NL34";"A";"2009";2,1;NA
"NL34";"A";"2008";2,3;NA
"NL34";"A";"2007";2,4;NA
"NL34";"A";"2006";2,1;NA
"NL34";"A";"2005";4,1;NA
"NL34";"A";"2004";5,1;NA
"NL34";"A";"2003";4,3;NA
"NL34";"A";"2002";4;NA
"NL34";"A";"2001";5,3;NA
"NL34";"A";"2000";NA;"na"
"NL34";"A";"1999";NA;"na"
"NL34";"A";"1998";NA;"na"
"NL34";"A";"1997";NA;"na"
"NL34";"A";"1996";NA;"na"
"NL34";"A";"1995";NA;"na"
"NL34";"A";"1994";NA;"na"
"NL34";"A";"1993";NA;"na"
"NL34";"A";"1992";NA;"na"
"NL34";"A";"1991";NA;"na"
"NL34";"A";"1990";NA;"na"
"UKC1";"A";"2014";4,6;NA
"UKC1";"A";"2013";NA;"na"
"UKC1";"A";"2012";3,3;NA
"UKC1";"A";"2011";3,7;NA
"UKC1";"A";"2010";4,2;NA
"UKC1";"A";"2009";3,5;NA
"UKC1";"A";"2008";4,6;NA
"UKC1";"A";"2007";4,6;NA
"UKC1";"A";"2006";6,5;NA
"UKC1";"A";"2005";5,2;NA
"UKC1";"A";"2004";5,1;NA
"UKC1";"A";"2003";4,6;NA
"UKC1";"A";"2002";4,8;NA
"UKC1";"A";"2001";6,7;NA
"UKC1";"A";"2000";6,4;NA
"UKC1";"A";"1999";NA;"na"
"UKC1";"A";"1998";NA;"na"
"UKC1";"A";"1997";NA;"na"
"UKC1";"A";"1996";NA;"na"
"UKC1";"A";"1995";NA;"na"
"UKC1";"A";"1994";NA;"na"
"UKC1";"A";"1993";NA;"na"
"UKC1";"A";"1992";NA;"na"
"UKC1";"A";"1991";NA;"na"
"UKC1";"A";"1990";NA;"na"
"UKE2";"A";"2014";3,1;NA
"UKE2";"A";"2013";NA;"na"
"UKE2";"A";"2012";3;NA
"UKE2";"A";"2011";3;NA
"UKE2";"A";"2010";4,1;NA
"UKE2";"A";"2009";4,4;NA
"UKE2";"A";"2008";3,1;NA
"UKE2";"A";"2007";4,1;NA
"UKE2";"A";"2006";4;NA
"UKE2";"A";"2005";5,1;NA
"UKE2";"A";"2004";3,9;NA
"UKE2";"A";"2003";2,4;NA
"UKE2";"A";"2002";2,9;NA
"UKE2";"A";"2001";2,8;NA
"UKE2";"A";"2000";6,1;NA
"UKE2";"A";"1999";NA;"na"
"UKE2";"A";"1998";NA;"na"
"UKE2";"A";"1997";NA;"na"
"UKE2";"A";"1996";NA;"na"
"UKE2";"A";"1995";NA;"na"
"UKE2";"A";"1994";NA;"na"
"UKE2";"A";"1993";NA;"na"
"UKE2";"A";"1992";NA;"na"
"UKE2";"A";"1991";NA;"na"
"UKE2";"A";"1990";NA;"na"
