"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y15-24";"T";"ITH2";"A";"2009";11,6;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2008";8,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2007";9,1;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2006";9,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2005";10,4;NA;"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"MT";"A";"2014";11,7;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2013";13;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2012";14,1;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2011";13,3;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2010";13,2;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2009";14,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2008";11,7;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2007";13,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2006";15,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2005";16,1;NA;"b"
"PC";"Y15-24";"T";"MT";"A";"2004";18,3;NA;"b"
"PC";"Y15-24";"T";"MT";"A";"2003";17,4;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2002";15,3;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2001";17,6;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2000";11,8;NA;NA
"PC";"Y15-24";"T";"MT";"A";"1999";NA;"na";NA
"PC";"Y15-24";"T";"NL12";"A";"2014";13,5;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2013";15,8;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2012";12,3;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2011";10,8;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2010";9;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2009";7,3;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2008";5,7;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2007";6;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2006";7,1;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2005";9,6;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2004";7,7;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2003";5,9;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2002";5;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2001";7,3;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2000";7,6;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"1999";9,5;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2014";14,5;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2013";13,1;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2012";12;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2011";11,8;NA;"b"
"PC";"Y15-24";"T";"NL13";"A";"2010";9,1;NA;"b"
"PC";"Y15-24";"T";"NL13";"A";"2009";7,1;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2008";7,1;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2007";7,9;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2006";9,4;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2005";10,3;NA;"b"
"PC";"Y15-24";"T";"NL13";"A";"2004";9,8;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2003";7;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2002";7,2;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2001";6,3;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2000";5;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"1999";15,8;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2014";9;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2013";8,4;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2012";7,1;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2011";5,4;NA;"bu"
"PC";"Y15-24";"T";"NL34";"A";"2010";NA;"na";"bu"
"PC";"Y15-24";"T";"NL34";"A";"2009";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2007";5,2;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2006";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2005";6,2;NA;"bu"
"PC";"Y15-24";"T";"NL34";"A";"2004";4,9;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"NL34";"A";"2000";6,1;NA;"u"
"PC";"Y15-24";"T";"NL34";"A";"1999";9,6;NA;"u"
"PC";"Y15-24";"T";"UKC1";"A";"2014";24,9;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2013";30,2;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2012";33;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2011";23,6;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2010";20,3;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2009";21,7;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2008";17,3;NA;"b"
"PC";"Y15-24";"T";"UKC1";"A";"2007";17,7;NA;"b"
"PC";"Y15-24";"T";"UKC1";"A";"2006";15,6;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"2005";15,3;NA;"b"
"PC";"Y15-24";"T";"UKC1";"A";"2004";13,8;NA;"bu"
"PC";"Y15-24";"T";"UKC1";"A";"2003";18,6;NA;"u"
"PC";"Y15-24";"T";"UKC1";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"UKC1";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"UKC1";"A";"2000";22,1;NA;NA
"PC";"Y15-24";"T";"UKC1";"A";"1999";19,6;NA;"bu"
"PC";"Y15-24";"T";"UKE2";"A";"2014";12,5;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2013";13,2;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2012";18,7;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2011";21,7;NA;NA
"PC";"Y15-24";"T";"UKE2";"A";"2010";20,3;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2009";13,1;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2008";10,2;NA;"bu"
"PC";"Y15-24";"T";"UKE2";"A";"2007";10,4;NA;"bu"
"PC";"Y15-24";"T";"UKE2";"A";"2006";13,1;NA;"u"
"PC";"Y15-24";"T";"UKE2";"A";"2005";8,3;NA;"bu"
"PC";"Y15-24";"T";"UKE2";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"UKE2";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"UKE2";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"UKE2";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"UKE2";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"UKE2";"A";"1999";NA;"na";"bu"
