"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"MT00";"A";"2009";4029;NA;NA
"MT00";"A";"2008";4013;NA;NA
"MT00";"A";"2007";3765;NA;NA
"MT00";"A";"2006";3779;NA;NA
"MT00";"A";"2005";3860;NA;NA
"MT00";"A";"2004";3600;NA;NA
"MT00";"A";"2003";3902;NA;NA
"MT00";"A";"2002";3805;NA;NA
"MT00";"A";"2001";3859;NA;NA
"MT00";"A";"2000";4255;NA;NA
"MT00";"A";"1999";4308;NA;NA
"MT00";"A";"1998";4488;NA;NA
"MT00";"A";"1997";4835;NA;NA
"MT00";"A";"1996";4944;NA;NA
"MT00";"A";"1995";NA;"na";NA
"MT00";"A";"1994";NA;"na";NA
"MT00";"A";"1993";NA;"na";NA
"MT00";"A";"1992";NA;"na";NA
"MT00";"A";"1991";NA;"na";NA
"MT00";"A";"1990";NA;"na";NA
"NL12";"A";"2013";6263;NA;NA
"NL12";"A";"2012";6502;NA;NA
"NL12";"A";"2011";6655;NA;NA
"NL12";"A";"2010";7012;NA;NA
"NL12";"A";"2009";7109;NA;NA
"NL12";"A";"2008";7026;NA;NA
"NL12";"A";"2007";7059;NA;NA
"NL12";"A";"2006";7233;NA;NA
"NL12";"A";"2005";7377;NA;NA
"NL12";"A";"2004";7551;NA;NA
"NL12";"A";"2003";7932;NA;NA
"NL12";"A";"2002";8000;NA;NA
"NL12";"A";"2001";7900;NA;NA
"NL12";"A";"2000";8000;NA;NA
"NL12";"A";"1999";7800;NA;NA
"NL12";"A";"1998";7700;NA;NA
"NL12";"A";"1997";7548;NA;NA
"NL12";"A";"1996";7424;NA;NA
"NL12";"A";"1995";7555;NA;NA
"NL12";"A";"1994";7500;NA;NA
"NL12";"A";"1993";7600;NA;NA
"NL12";"A";"1992";7600;NA;NA
"NL12";"A";"1991";7800;NA;NA
"NL12";"A";"1990";7500;NA;NA
"NL13";"A";"2013";4174;NA;NA
"NL13";"A";"2012";4406;NA;NA
"NL13";"A";"2011";4616;NA;NA
"NL13";"A";"2010";4750;NA;NA
"NL13";"A";"2009";5022;NA;NA
"NL13";"A";"2008";4914;NA;NA
"NL13";"A";"2007";4858;NA;NA
"NL13";"A";"2006";5013;NA;NA
"NL13";"A";"2005";5099;NA;NA
"NL13";"A";"2004";5320;NA;NA
"NL13";"A";"2003";5516;NA;NA
"NL13";"A";"2002";5800;NA;NA
"NL13";"A";"2001";5800;NA;NA
"NL13";"A";"2000";5800;NA;NA
