"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"ITH2";"A";"2007";66,3;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2006";65,4;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2005";65,1;"b";NA
"PC";"Y15-64";"T";"ITH2";"A";"2004";65,3;"b";NA
"PC";"Y15-64";"T";"ITH2";"A";"2003";63,8;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2002";61,9;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2001";62;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2000";62,7;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"1999";60,1;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2014";62,4;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2013";60,8;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2012";59,1;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2011";57,9;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2010";56,2;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2009";55,3;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2008";55,5;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2007";55;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2006";53,9;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2005";53,6;"b";NA
"PC";"Y15-64";"T";"MT";"A";"2004";53,4;"b";NA
"PC";"Y15-64";"T";"MT";"A";"2003";54,6;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2002";55;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2001";54,7;NA;NA
"PC";"Y15-64";"T";"MT";"A";"2000";54,5;NA;NA
"PC";"Y15-64";"T";"MT";"A";"1999";NA;NA;"na"
"PC";"Y15-64";"T";"NL12";"A";"2014";72,8;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2013";72,9;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2012";73,3;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2011";73;"b";NA
"PC";"Y15-64";"T";"NL12";"A";"2010";73,5;"b";NA
"PC";"Y15-64";"T";"NL12";"A";"2009";76,5;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2008";76,5;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2007";74,7;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2006";72,1;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2005";71,9;"b";NA
"PC";"Y15-64";"T";"NL12";"A";"2004";71,3;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2003";72,4;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2002";73;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2001";70,9;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"2000";70,1;NA;NA
"PC";"Y15-64";"T";"NL12";"A";"1999";70,1;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2014";72,7;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2013";72,9;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2012";73,3;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2011";71,8;"b";NA
"PC";"Y15-64";"T";"NL13";"A";"2010";72,8;"b";NA
"PC";"Y15-64";"T";"NL13";"A";"2009";75,1;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2008";75,3;NA;NA
"PC";"Y15-64";"T";"NL13";"A";"2007";74,6;NA;NA
