"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"EU27";"A";"1995";NA;"na";NA
"EU27";"A";"1994";NA;"na";NA
"EU27";"A";"1993";NA;"na";NA
"EU27";"A";"1992";NA;"na";NA
"EU27";"A";"1991";NA;"na";NA
"EU27";"A";"1990";NA;"na";NA
"EU28";"A";"2014";116,7;NA;"e"
"EU28";"A";"2013";116,4;NA;"e"
"EU28";"A";"2012";116,3;NA;"e"
"EU28";"A";"2011";116;NA;"e"
"EU28";"A";"2010";115,7;NA;"e"
"EU28";"A";"2009";115,5;NA;"e"
"EU28";"A";"2008";115,1;NA;"e"
"EU28";"A";"2007";114,7;NA;"e"
"EU28";"A";"2006";114,1;NA;"e"
"EU28";"A";"2005";113,7;NA;"e"
"EU28";"A";"2004";113,3;NA;"e"
"EU28";"A";"2003";112,8;NA;"e"
"EU28";"A";"2002";112,4;NA;"e"
"EU28";"A";"2001";112;NA;"e"
"EU28";"A";"2000";111,8;NA;"e"
"EU28";"A";"1999";NA;"na";NA
"EU28";"A";"1998";NA;"na";NA
"EU28";"A";"1997";NA;"na";NA
"EU28";"A";"1996";NA;"na";NA
"EU28";"A";"1995";NA;"na";NA
"EU28";"A";"1994";NA;"na";NA
"EU28";"A";"1993";NA;"na";NA
"EU28";"A";"1992";NA;"na";NA
"EU28";"A";"1991";NA;"na";NA
"EU28";"A";"1990";NA;"na";NA
"IT";"A";"2014";201,2;NA;NA
"IT";"A";"2013";199,4;NA;NA
"IT";"A";"2012";201,8;NA;NA
"IT";"A";"2011";201,2;NA;NA
"IT";"A";"2010";200,9;NA;NA
"IT";"A";"2009";200,2;NA;NA
"IT";"A";"2008";199,3;NA;NA
"IT";"A";"2007";198;NA;NA
"IT";"A";"2006";197;NA;NA
"IT";"A";"2005";196,4;NA;NA
"IT";"A";"2004";195,5;NA;NA
"IT";"A";"2003";194,2;NA;NA
"IT";"A";"2002";193,3;NA;NA
"IT";"A";"2001";193,1;NA;NA
"IT";"A";"2000";193;NA;NA
"IT";"A";"1999";192,9;NA;NA
"IT";"A";"1998";192,8;NA;NA
"IT";"A";"1997";192,8;NA;NA
"IT";"A";"1996";192,7;NA;NA
"IT";"A";"1995";192,6;NA;NA
"IT";"A";"1994";192,6;NA;NA
"IT";"A";"1993";192,6;NA;NA
"IT";"A";"1992";192,5;NA;NA
"IT";"A";"1991";188,4;NA;NA
"IT";"A";"1990";188,2;NA;NA
"ITC4";"A";"2014";418,5;NA;NA
