"INDIC_DE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NATGROWRT";"MT";"A";"2003";2,3;NA;NA
"NATGROWRT";"MT";"A";"2002";2,3;NA;NA
"NATGROWRT";"MT";"A";"2001";2,7;NA;NA
"NATGROWRT";"MT";"A";"2000";3,8;NA;NA
"NATGROWRT";"NL12";"A";"2014";NA;"na";NA
"NATGROWRT";"NL12";"A";"2013";0,5;NA;NA
"NATGROWRT";"NL12";"A";"2012";1;NA;NA
"NATGROWRT";"NL12";"A";"2011";1,6;NA;NA
"NATGROWRT";"NL12";"A";"2010";2,2;NA;NA
"NATGROWRT";"NL12";"A";"2009";2,3;NA;NA
"NATGROWRT";"NL12";"A";"2008";2,3;NA;NA
"NATGROWRT";"NL12";"A";"2007";2,5;NA;NA
"NATGROWRT";"NL12";"A";"2006";2;NA;NA
"NATGROWRT";"NL12";"A";"2005";2,8;NA;NA
"NATGROWRT";"NL12";"A";"2004";3;NA;NA
"NATGROWRT";"NL12";"A";"2003";3,3;NA;NA
"NATGROWRT";"NL12";"A";"2002";3,3;NA;NA
"NATGROWRT";"NL12";"A";"2001";3,2;NA;NA
"NATGROWRT";"NL12";"A";"2000";3,5;NA;NA
"NATGROWRT";"NL13";"A";"2014";NA;"na";NA
"NATGROWRT";"NL13";"A";"2013";-1,3;NA;NA
"NATGROWRT";"NL13";"A";"2012";-0,9;NA;NA
"NATGROWRT";"NL13";"A";"2011";-0,1;NA;NA
"NATGROWRT";"NL13";"A";"2010";0,3;NA;NA
"NATGROWRT";"NL13";"A";"2009";1;NA;NA
"NATGROWRT";"NL13";"A";"2008";0,8;NA;NA
"NATGROWRT";"NL13";"A";"2007";1;NA;NA
"NATGROWRT";"NL13";"A";"2006";1,4;NA;NA
"NATGROWRT";"NL13";"A";"2005";1,5;NA;NA
"NATGROWRT";"NL13";"A";"2004";1,9;NA;NA
"NATGROWRT";"NL13";"A";"2003";2,1;NA;NA
"NATGROWRT";"NL13";"A";"2002";2,5;NA;NA
"NATGROWRT";"NL13";"A";"2001";2,9;NA;NA
"NATGROWRT";"NL13";"A";"2000";2,8;NA;NA
"NATGROWRT";"NL34";"A";"2014";NA;"na";NA
"NATGROWRT";"NL34";"A";"2013";-0,8;NA;NA
"NATGROWRT";"NL34";"A";"2012";-0,3;NA;NA
"NATGROWRT";"NL34";"A";"2011";0,2;NA;NA
"NATGROWRT";"NL34";"A";"2010";-0,1;NA;NA
"NATGROWRT";"NL34";"A";"2009";0,6;NA;NA
"NATGROWRT";"NL34";"A";"2008";0,7;NA;NA
"NATGROWRT";"NL34";"A";"2007";0,5;NA;NA
"NATGROWRT";"NL34";"A";"2006";0,6;NA;NA
"NATGROWRT";"NL34";"A";"2005";0,6;NA;NA
"NATGROWRT";"NL34";"A";"2004";1,1;NA;NA
