"UNIT";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PPS_HAB";"NL12";"A";"2003";20100;NA
"PPS_HAB";"NL12";"A";"2002";20200;NA
"PPS_HAB";"NL12";"A";"2001";20100;NA
"PPS_HAB";"NL12";"A";"2000";19400;NA
"PPS_HAB";"NL13";"A";"2014";25800;NA
"PPS_HAB";"NL13";"A";"2013";25500;NA
"PPS_HAB";"NL13";"A";"2012";24800;NA
"PPS_HAB";"NL13";"A";"2011";24600;NA
"PPS_HAB";"NL13";"A";"2010";23800;NA
"PPS_HAB";"NL13";"A";"2009";23900;NA
"PPS_HAB";"NL13";"A";"2008";26200;NA
"PPS_HAB";"NL13";"A";"2007";26000;NA
"PPS_HAB";"NL13";"A";"2006";24100;NA
"PPS_HAB";"NL13";"A";"2005";23000;NA
"PPS_HAB";"NL13";"A";"2004";21600;NA
"PPS_HAB";"NL13";"A";"2003";21200;NA
"PPS_HAB";"NL13";"A";"2002";21700;NA
"PPS_HAB";"NL13";"A";"2001";21000;NA
"PPS_HAB";"NL13";"A";"2000";20400;NA
"PPS_HAB";"NL34";"A";"2014";27400;NA
"PPS_HAB";"NL34";"A";"2013";27000;NA
"PPS_HAB";"NL34";"A";"2012";27100;NA
"PPS_HAB";"NL34";"A";"2011";27300;NA
"PPS_HAB";"NL34";"A";"2010";26400;NA
"PPS_HAB";"NL34";"A";"2009";24800;NA
"PPS_HAB";"NL34";"A";"2008";27400;NA
"PPS_HAB";"NL34";"A";"2007";26600;NA
"PPS_HAB";"NL34";"A";"2006";24100;NA
"PPS_HAB";"NL34";"A";"2005";22900;NA
"PPS_HAB";"NL34";"A";"2004";22200;NA
"PPS_HAB";"NL34";"A";"2003";21400;NA
"PPS_HAB";"NL34";"A";"2002";21300;NA
"PPS_HAB";"NL34";"A";"2001";20000;NA
"PPS_HAB";"NL34";"A";"2000";19700;NA
"PPS_HAB";"UKC1";"A";"2014";20500;NA
"PPS_HAB";"UKC1";"A";"2013";19900;NA
"PPS_HAB";"UKC1";"A";"2012";19400;NA
"PPS_HAB";"UKC1";"A";"2011";18900;NA
"PPS_HAB";"UKC1";"A";"2010";19400;NA
"PPS_HAB";"UKC1";"A";"2009";19300;NA
"PPS_HAB";"UKC1";"A";"2008";20500;NA
"PPS_HAB";"UKC1";"A";"2007";21000;NA
"PPS_HAB";"UKC1";"A";"2006";21000;NA
"PPS_HAB";"UKC1";"A";"2005";19700;NA
"PPS_HAB";"UKC1";"A";"2004";19700;NA
"PPS_HAB";"UKC1";"A";"2003";18000;NA
"PPS_HAB";"UKC1";"A";"2002";17000;NA
"PPS_HAB";"UKC1";"A";"2001";16300;NA
"PPS_HAB";"UKC1";"A";"2000";16100;NA
"PPS_HAB";"UKE2";"A";"2014";26800;NA
"PPS_HAB";"UKE2";"A";"2013";26000;NA
"PPS_HAB";"UKE2";"A";"2012";25500;NA
"PPS_HAB";"UKE2";"A";"2011";25000;NA
"PPS_HAB";"UKE2";"A";"2010";24600;NA
"PPS_HAB";"UKE2";"A";"2009";24600;NA
"PPS_HAB";"UKE2";"A";"2008";26800;NA
"PPS_HAB";"UKE2";"A";"2007";28200;NA
"PPS_HAB";"UKE2";"A";"2006";27600;NA
"PPS_HAB";"UKE2";"A";"2005";27000;NA
"PPS_HAB";"UKE2";"A";"2004";26800;NA
"PPS_HAB";"UKE2";"A";"2003";25200;NA
"PPS_HAB";"UKE2";"A";"2002";24400;NA
"PPS_HAB";"UKE2";"A";"2001";22100;NA
"PPS_HAB";"UKE2";"A";"2000";21300;NA
