"UNIT";"WORKTIME";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"THS";"PT";"T";"ITH2";"A";"2000";23,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"1999";16,3;NA;NA
"THS";"PT";"T";"MT";"A";"2014";30,1;NA;NA
"THS";"PT";"T";"MT";"A";"2013";26,7;NA;NA
"THS";"PT";"T";"MT";"A";"2012";24;NA;NA
"THS";"PT";"T";"MT";"A";"2011";22,3;NA;NA
"THS";"PT";"T";"MT";"A";"2010";20,2;NA;NA
"THS";"PT";"T";"MT";"A";"2009";18,4;NA;NA
"THS";"PT";"T";"MT";"A";"2008";18,2;NA;NA
"THS";"PT";"T";"MT";"A";"2007";16,8;NA;NA
"THS";"PT";"T";"MT";"A";"2006";15;NA;NA
"THS";"PT";"T";"MT";"A";"2005";14;"b";NA
"THS";"PT";"T";"MT";"A";"2004";11,8;"b";NA
"THS";"PT";"T";"MT";"A";"2003";13,9;NA;NA
"THS";"PT";"T";"MT";"A";"2002";13,1;NA;NA
"THS";"PT";"T";"MT";"A";"2001";11,3;NA;NA
"THS";"PT";"T";"MT";"A";"2000";9,3;NA;NA
"THS";"PT";"T";"MT";"A";"1999";NA;NA;"na"
"THS";"PT";"T";"NL12";"A";"2014";163,4;NA;NA
"THS";"PT";"T";"NL12";"A";"2013";160,6;NA;NA
"THS";"PT";"T";"NL12";"A";"2012";162,8;NA;NA
"THS";"PT";"T";"NL12";"A";"2011";161,1;"b";NA
"THS";"PT";"T";"NL12";"A";"2010";160,1;"b";NA
"THS";"PT";"T";"NL12";"A";"2009";161,9;NA;NA
"THS";"PT";"T";"NL12";"A";"2008";159,3;NA;NA
"THS";"PT";"T";"NL12";"A";"2007";157,8;NA;NA
"THS";"PT";"T";"NL12";"A";"2006";150;NA;NA
"THS";"PT";"T";"NL12";"A";"2005";153,5;"b";NA
"THS";"PT";"T";"NL12";"A";"2004";147,1;NA;NA
"THS";"PT";"T";"NL12";"A";"2003";147,8;NA;NA
"THS";"PT";"T";"NL12";"A";"2002";145,6;NA;NA
"THS";"PT";"T";"NL12";"A";"2001";133,2;NA;NA
"THS";"PT";"T";"NL12";"A";"2000";123,4;NA;NA
"THS";"PT";"T";"NL12";"A";"1999";120;NA;NA
"THS";"PT";"T";"NL13";"A";"2014";119,8;NA;NA
"THS";"PT";"T";"NL13";"A";"2013";123,3;NA;NA
"THS";"PT";"T";"NL13";"A";"2012";124,5;NA;NA
"THS";"PT";"T";"NL13";"A";"2011";119,4;"b";NA
"THS";"PT";"T";"NL13";"A";"2010";120,1;"b";NA
"THS";"PT";"T";"NL13";"A";"2009";124,5;NA;NA
"THS";"PT";"T";"NL13";"A";"2008";116,8;NA;NA
"THS";"PT";"T";"NL13";"A";"2007";115,4;NA;NA
"THS";"PT";"T";"NL13";"A";"2006";114,1;NA;NA
"THS";"PT";"T";"NL13";"A";"2005";110,9;"b";NA
"THS";"PT";"T";"NL13";"A";"2004";112,3;NA;NA
"THS";"PT";"T";"NL13";"A";"2003";111,5;NA;NA
"THS";"PT";"T";"NL13";"A";"2002";102,5;NA;NA
"THS";"PT";"T";"NL13";"A";"2001";93,3;NA;NA
"THS";"PT";"T";"NL13";"A";"2000";94,7;NA;NA
"THS";"PT";"T";"NL13";"A";"1999";83,9;NA;NA
"THS";"PT";"T";"NL34";"A";"2014";90,9;NA;NA
"THS";"PT";"T";"NL34";"A";"2013";89,5;NA;NA
"THS";"PT";"T";"NL34";"A";"2012";93,5;NA;NA
"THS";"PT";"T";"NL34";"A";"2011";89;"b";NA
"THS";"PT";"T";"NL34";"A";"2010";86,1;"b";NA
"THS";"PT";"T";"NL34";"A";"2009";86;NA;NA
"THS";"PT";"T";"NL34";"A";"2008";85,2;NA;NA
"THS";"PT";"T";"NL34";"A";"2007";85,1;NA;NA
"THS";"PT";"T";"NL34";"A";"2006";81,8;NA;NA
"THS";"PT";"T";"NL34";"A";"2005";79,2;"b";NA
"THS";"PT";"T";"NL34";"A";"2004";79,7;NA;NA
"THS";"PT";"T";"NL34";"A";"2003";79,1;NA;NA
"THS";"PT";"T";"NL34";"A";"2002";83,1;NA;NA
"THS";"PT";"T";"NL34";"A";"2001";73,3;NA;NA
"THS";"PT";"T";"NL34";"A";"2000";72,2;NA;NA
"THS";"PT";"T";"NL34";"A";"1999";65,2;NA;NA
"THS";"PT";"T";"UKC1";"A";"2014";133,3;NA;NA
"THS";"PT";"T";"UKC1";"A";"2013";124,2;NA;NA
"THS";"PT";"T";"UKC1";"A";"2012";130,6;NA;NA
