"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"ITH2";"A";"2010";4,2;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2009";3,5;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2008";3,3;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2007";2,9;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2006";3,1;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2005";3,6;"b";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2004";3;"bu";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2003";3,4;"u";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2002";3,8;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2001";3,9;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2000";3,7;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"1999";5,3;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2014";5,8;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2013";6,4;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2012";6,3;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2011";6,4;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2010";6,8;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2009";6,9;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2008";6;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2007";6,5;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2006";6,8;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2005";6,9;"b";NA
"PC";"Y_GE15";"T";"MT";"A";"2004";7,3;"b";NA
"PC";"Y_GE15";"T";"MT";"A";"2003";7,5;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2002";6,9;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2001";7,1;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2000";6,3;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"1999";NA;NA;"na"
"PC";"Y_GE15";"T";"NL12";"A";"2014";7,9;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2013";8,3;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2012";6,4;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2011";5,1;"b";NA
"PC";"Y_GE15";"T";"NL12";"A";"2010";4,8;"b";NA
"PC";"Y_GE15";"T";"NL12";"A";"2009";3,5;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2008";2,9;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2007";3,2;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2006";4,2;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2005";4,9;"b";NA
"PC";"Y_GE15";"T";"NL12";"A";"2004";5,2;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2003";3,5;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2002";2,4;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2001";3,1;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"2000";4,5;NA;NA
"PC";"Y_GE15";"T";"NL12";"A";"1999";4,1;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2014";7,3;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2013";7,1;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2012";6,4;NA;NA
