"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"I";"RT";"TOTAL";"T";"AT32";"A";"2010";315,2;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2009";328,8;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2008";327,4;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2007";334,5;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2006";347,3;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2005";333,2;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2004";339,7;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2003";384,3;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2002";384,1;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2001";398,7;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2000";404,2;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1999";419,5;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1998";412,1;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1997";411,2;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1996";413,8;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1995";434,9;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1994";399,2;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2010";316;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2009";311,3;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2008";295,3;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2007";293,3;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2006";295,1;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2005";296;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2004";304;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2003";320,6;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2002";335,8;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2001";368,9;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2000";378,5;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1999";390,7;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1998";395,5;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1997";408,9;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1996";405,2;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1995";390,6;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1994";398,4;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2010";254,7;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2009";248;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2008";259,7;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2007";250,6;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2006";257,6;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2005";264,4;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2004";280,6;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2003";294,8;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2002";284,4;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2001";274,4;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"2000";281,6;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1999";279;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1998";290,3;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1997";276,2;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1996";279,6;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1995";283,3;NA
"I";"RT";"TOTAL";"T";"BE22";"A";"1994";276;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2010";303,8;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2009";286;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2008";279,2;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2007";308,2;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2006";298,5;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2005";301;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2004";293,9;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2003";320,3;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2002";331,9;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2001";294,8;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"2000";319,5;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1999";349,6;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1998";361,3;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1997";336,2;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1996";356,3;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1995";352,8;NA
"I";"RT";"TOTAL";"T";"ES13";"A";"1994";353,6;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2010";277,9;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2009";273;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2008";300,8;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2007";285;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2006";295,2;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2005";NA;"na"
"I";"RT";"TOTAL";"T";"ITH1";"A";"2004";NA;"na"
"I";"RT";"TOTAL";"T";"ITH1";"A";"2003";340,4;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2002";342,4;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2001";326,7;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"2000";345,8;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"1999";360;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"1998";368,6;NA
"I";"RT";"TOTAL";"T";"ITH1";"A";"1997";NA;"na"
"I";"RT";"TOTAL";"T";"ITH1";"A";"1996";NA;"na"
"I";"RT";"TOTAL";"T";"ITH1";"A";"1995";NA;"na"
"I";"RT";"TOTAL";"T";"ITH1";"A";"1994";NA;"na"
"I";"RT";"TOTAL";"T";"ITH2";"A";"2010";336,9;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2009";353,4;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2008";360,1;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2007";353,6;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2006";338,2;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2005";NA;"na"
"I";"RT";"TOTAL";"T";"ITH2";"A";"2004";NA;"na"
"I";"RT";"TOTAL";"T";"ITH2";"A";"2003";409,2;NA
"I";"RT";"TOTAL";"T";"ITH2";"A";"2002";407,1;NA
