"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2000";258,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1999";245,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1998";245;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1997";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1996";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1995";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1994";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2010";285,3;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2009";277,2;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2008";284;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2007";294,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2006";301,3;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2005";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2004";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2003";295,9;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2002";285,5;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2001";294,9;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"2000";312,2;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1999";284,4;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1998";293,3;NA
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1997";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1996";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1995";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH2";"A";"1994";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2010";208,7;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2009";206,6;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2008";208,9;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2007";203,1;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2006";196,9;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2005";177,8;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2004";180,4;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2003";183,9;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2002";186,9;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2001";184;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"2000";187,1;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1999";189,3;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1998";191,3;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1997";185,5;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1996";194,8;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1995";197,3;NA
"C00-D48";"RT";"TOTAL";"T";"MT";"A";"1994";188,6;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2010";281,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2009";270,8;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2008";278,6;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2007";264,7;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2006";277,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2005";263,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2004";258;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2003";255,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2002";257,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2001";268,7;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"2000";262,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1999";259;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1998";266,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1997";254,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1996";261,8;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1995";262,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL12";"A";"1994";247,7;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2010";290,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2009";295;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2008";292,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2007";288;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2006";259;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2005";268,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2004";281;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2003";273,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2002";284,8;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2001";271,3;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"2000";279,8;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1999";274,9;NA
