"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1994";-0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1993";-1,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1992";-3,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2014";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2013";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2012";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2011";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2010";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2009";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2008";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2007";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2006";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2005";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2004";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2003";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2002";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2001";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2000";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1999";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1998";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1997";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1996";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1995";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1994";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1993";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1992";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2014";-2,03;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2013";-2;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2012";-3,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2011";-2,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2010";-0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2009";-2,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2008";-1;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2007";-2,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2006";0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2005";-0,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2004";0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2003";-1,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2002";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2001";0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"2000";-0,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1999";-0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1998";0,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1997";1;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1996";0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1995";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1994";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1993";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1992";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"DE2";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2014";0,46;NA;"e"
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2013";1,03;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2012";4,88;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2011";-1,47;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2010";1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2009";9,06;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2008";4;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2007";0,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2006";4,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2005";-0,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2004";2,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2003";0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2002";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2001";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"2000";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1999";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1998";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1997";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1996";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1995";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1994";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1993";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1992";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU27";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2014";1,42;NA;"e"
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2013";1,69;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2012";16,58;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2011";-1,45;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2010";1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2009";9,04;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2008";4;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2007";0,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2006";4,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2005";-0,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2004";2,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2003";1;NA;NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2002";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2001";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"2000";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1999";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1998";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1997";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1996";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1995";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1994";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1993";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1992";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"EU28";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2014";0,57;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2013";0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2012";2,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2011";2,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2010";3,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2009";3,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2008";7;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2007";-2,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2006";3,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2005";13,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2004";1;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2003";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2002";-11,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2001";9,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"2000";69,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"1999";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"1998";5,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"IT";"A";"1997";-3,2;NA;NA
