"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"AT32";"A";"2015";60,1;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2014";59,9;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2013";61,6;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2012";61,6;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2011";61,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2010";60,7;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2009";60,7;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2008";60,4;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2007";60,4;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2006";58,8;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2005";59,3;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2004";56,9;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2003";61,1;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2002";60,4;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2001";60,1;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2000";60,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"1999";59,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2015";60,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2014";60,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2013";61,7;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2012";61,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2011";60,6;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2010";60,6;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2009";60,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2008";60,4;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2007";60,5;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2006";59;NA;NA
