"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"P_THAB";"B006";"I551-I553";"CH07";"A";"2013";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2012";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2011";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2010";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2009";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2008";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2007";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2006";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2005";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2004";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2003";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2002";13380;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2001";17594;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2000";18390;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1999";18877;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1998";18456;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1997";18098;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2014";5944,17;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2013";5834;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2012";5854;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2011";5646;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2010";5405;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2009";5190;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2008";5545;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2007";5500;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2006";5990;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2005";5993;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2004";5929;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2003";5347;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2002";5401;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2001";5725;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2000";5725;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2014";5197,71;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2013";5124,63;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2012";5028,92;NA;NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2011";4851;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2010";4708;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2009";4507;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2008";4619;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2007";4671;NA;"e"
"P_THAB";"B006";"I551-I553";"EU27";"A";"2006";4672;NA;NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2005";4579;NA;NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2004";4398;NA;NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2003";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2002";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2001";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"2000";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU27";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2014";5291,62;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2013";5213,51;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2012";5114,21;NA;NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2011";4886;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2010";4740;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2009";4541;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2008";4655;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2007";4707;NA;"e"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2006";4706;NA;NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2005";4613;NA;NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2004";4432;NA;NA
