"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"ITH1";"A";"2009";21,2;NA;NA
"Y65";"T";"ITH1";"A";"2008";20,7;NA;NA
"Y65";"T";"ITH1";"A";"2007";20,7;NA;NA
"Y65";"T";"ITH1";"A";"2006";20,4;NA;NA
"Y65";"T";"ITH1";"A";"2005";19,8;NA;NA
"Y65";"T";"ITH1";"A";"2004";19,7;NA;NA
"Y65";"T";"ITH1";"A";"2003";19,1;NA;NA
"Y65";"T";"ITH1";"A";"2002";19,7;NA;NA
"Y65";"T";"ITH1";"A";"2001";19,9;NA;NA
"Y65";"T";"ITH1";"A";"2000";19,5;NA;NA
"Y65";"T";"ITH1";"A";"1999";19,3;NA;NA
"Y65";"T";"ITH1";"A";"1998";19;NA;NA
"Y65";"T";"ITH1";"A";"1997";19,3;NA;NA
"Y65";"T";"ITH1";"A";"1996";18,9;NA;NA
"Y65";"T";"ITH1";"A";"1995";19,1;NA;NA
"Y65";"T";"ITH1";"A";"1994";18,5;NA;NA
"Y65";"T";"ITH1";"A";"1993";18,4;NA;NA
"Y65";"T";"ITH1";"A";"1992";18,2;NA;NA
"Y65";"T";"ITH1";"A";"1991";18,1;NA;NA
"Y65";"T";"ITH1";"A";"1990";17,8;NA;NA
"Y65";"T";"ITH2";"A";"2014";21,9;NA;NA
"Y65";"T";"ITH2";"A";"2013";21,6;NA;NA
"Y65";"T";"ITH2";"A";"2012";21,8;NA;NA
"Y65";"T";"ITH2";"A";"2011";21,7;NA;NA
"Y65";"T";"ITH2";"A";"2010";21,2;NA;NA
"Y65";"T";"ITH2";"A";"2009";21,2;NA;NA
"Y65";"T";"ITH2";"A";"2008";20,8;NA;NA
"Y65";"T";"ITH2";"A";"2007";20,6;NA;NA
"Y65";"T";"ITH2";"A";"2006";20,3;NA;NA
"Y65";"T";"ITH2";"A";"2005";20,2;NA;NA
