"UNIT";"NA_ITEM";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"EUR_HAB";"B6N";"NL12";"A";"2007";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2006";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2005";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2004";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2003";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2001";NA;"na"
"EUR_HAB";"B6N";"NL12";"A";"2000";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2012";15700;NA
"EUR_HAB";"B6N";"NL13";"A";"2011";15800;NA
"EUR_HAB";"B6N";"NL13";"A";"2010";15700;NA
"EUR_HAB";"B6N";"NL13";"A";"2009";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2008";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2007";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2006";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2005";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2004";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2003";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2001";NA;"na"
"EUR_HAB";"B6N";"NL13";"A";"2000";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2012";15800;NA
"EUR_HAB";"B6N";"NL34";"A";"2011";15800;NA
"EUR_HAB";"B6N";"NL34";"A";"2010";16400;NA
"EUR_HAB";"B6N";"NL34";"A";"2009";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2008";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2007";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2006";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2005";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2004";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2003";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2001";NA;"na"
"EUR_HAB";"B6N";"NL34";"A";"2000";NA;"na"
"EUR_HAB";"B6N";"UKC1";"A";"2012";16600;NA
"EUR_HAB";"B6N";"UKC1";"A";"2011";14900;NA
"EUR_HAB";"B6N";"UKC1";"A";"2010";14800;NA
"EUR_HAB";"B6N";"UKC1";"A";"2009";13700;NA
"EUR_HAB";"B6N";"UKC1";"A";"2008";14600;NA
"EUR_HAB";"B6N";"UKC1";"A";"2007";16200;NA
"EUR_HAB";"B6N";"UKC1";"A";"2006";16400;NA
"EUR_HAB";"B6N";"UKC1";"A";"2005";15800;NA
"EUR_HAB";"B6N";"UKC1";"A";"2004";15500;NA
"EUR_HAB";"B6N";"UKC1";"A";"2003";14600;NA
"EUR_HAB";"B6N";"UKC1";"A";"2002";15400;NA
"EUR_HAB";"B6N";"UKC1";"A";"2001";15300;NA
"EUR_HAB";"B6N";"UKC1";"A";"2000";14700;NA
"EUR_HAB";"B6N";"UKE2";"A";"2012";20400;NA
"EUR_HAB";"B6N";"UKE2";"A";"2011";18500;NA
"EUR_HAB";"B6N";"UKE2";"A";"2010";18300;NA
"EUR_HAB";"B6N";"UKE2";"A";"2009";17100;NA
"EUR_HAB";"B6N";"UKE2";"A";"2008";18300;NA
"EUR_HAB";"B6N";"UKE2";"A";"2007";20600;NA
"EUR_HAB";"B6N";"UKE2";"A";"2006";20700;NA
"EUR_HAB";"B6N";"UKE2";"A";"2005";19300;NA
"EUR_HAB";"B6N";"UKE2";"A";"2004";18400;NA
"EUR_HAB";"B6N";"UKE2";"A";"2003";17600;NA
"EUR_HAB";"B6N";"UKE2";"A";"2002";18500;NA
"EUR_HAB";"B6N";"UKE2";"A";"2001";18000;NA
"EUR_HAB";"B6N";"UKE2";"A";"2000";17700;NA
