"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2004";7,1;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2003";7,5;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2002";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2001";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2000";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2015";3,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2014";3,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2013";4,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2012";5,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2011";5,4;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2010";5,7;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2009";6,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2008";5,6;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2007";6,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2006";7,3;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2005";8,9;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2004";7,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2003";8,4;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2002";6,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2001";5,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2000";5,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2015";12;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2014";12,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2013";12,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2012";13,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2011";12,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2010";12,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2009";12,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2008";10,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2007";11;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2006";11,7;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2005";12,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2004";12,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2003";13,1;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2002";13;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2001";12,8;"e";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU27";"A";"2000";13,2;"e";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2015";12;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2014";12,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2013";13;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2012";13,2;NA;NA
