"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"HR";"Y_GE15";"T";"EU27";"A";"2015";37,1;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2014";37,2;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2013";37,2;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2012";37,3;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2011";37,4;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2010";37,5;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2009";37,6;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2008";37,8;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2007";37,9;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2006";37,9;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2005";38;"b";NA
"HR";"Y_GE15";"T";"EU27";"A";"2004";38,1;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2003";38,1;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2002";38,2;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2001";38,3;NA;NA
"HR";"Y_GE15";"T";"EU27";"A";"2000";NA;NA;"na"
"HR";"Y_GE15";"T";"EU27";"A";"1999";NA;NA;"na"
"HR";"Y_GE15";"T";"EU28";"A";"2015";37,1;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2014";37,2;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2013";37,2;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2012";37,3;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2011";37,4;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2010";37,5;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2009";37,6;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2008";37,8;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2007";37,9;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2006";37,9;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2005";38;"b";NA
"HR";"Y_GE15";"T";"EU28";"A";"2004";38,1;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2003";38,2;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2002";38,2;NA;NA
"HR";"Y_GE15";"T";"EU28";"A";"2001";NA;NA;"na"
"HR";"Y_GE15";"T";"EU28";"A";"2000";NA;NA;"na"
"HR";"Y_GE15";"T";"EU28";"A";"1999";NA;NA;"na"
"HR";"Y_GE15";"T";"IT";"A";"2015";37;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2014";36,9;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2013";36,9;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2012";37,1;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2011";37,5;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2010";37,8;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2009";38;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2008";38,2;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2007";38,4;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2006";38,5;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2005";38,6;"b";NA
"HR";"Y_GE15";"T";"IT";"A";"2004";38,8;"b";NA
"HR";"Y_GE15";"T";"IT";"A";"2003";39;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2002";39,1;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2001";39,1;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"2000";39,1;NA;NA
"HR";"Y_GE15";"T";"IT";"A";"1999";39,2;NA;NA
"HR";"Y_GE15";"T";"ITC4";"A";"2015";37,5;NA;NA
"HR";"Y_GE15";"T";"ITC4";"A";"2014";37,4;NA;NA
