"INDIC_ED";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"R04_4";"AT32";"A";"2012";22,1;NA;NA
"R04_4";"AT32";"A";"2011";22,2;NA;NA
"R04_4";"AT32";"A";"2010";22,3;NA;NA
"R04_4";"AT32";"A";"2009";21,9;NA;NA
"R04_4";"AT32";"A";"2008";21,8;NA;NA
"R04_4";"AT32";"A";"2007";21,6;NA;NA
"R04_4";"AT32";"A";"2006";21,8;NA;NA
"R04_4";"AT32";"A";"2005";21,8;NA;NA
"R04_4";"AT32";"A";"2004";21,7;NA;NA
"R04_4";"AT32";"A";"2003";21,7;NA;NA
"R04_4";"AT32";"A";"2002";21,8;NA;NA
"R04_4";"AT32";"A";"2001";22,3;NA;NA
"R04_4";"AT32";"A";"2000";NA;"na";NA
"R04_4";"AT32";"A";"1999";22,2;NA;NA
"R04_4";"AT32";"A";"1998";NA;"na";NA
"R04_4";"AT33";"A";"2012";21,8;NA;NA
"R04_4";"AT33";"A";"2011";21,9;NA;NA
"R04_4";"AT33";"A";"2010";22,1;NA;NA
"R04_4";"AT33";"A";"2009";21,9;NA;NA
"R04_4";"AT33";"A";"2008";22;NA;NA
"R04_4";"AT33";"A";"2007";22,1;NA;NA
"R04_4";"AT33";"A";"2006";22,5;NA;NA
"R04_4";"AT33";"A";"2005";22,6;NA;NA
"R04_4";"AT33";"A";"2004";22,6;NA;NA
"R04_4";"AT33";"A";"2003";22,5;NA;NA
"R04_4";"AT33";"A";"2002";22,7;NA;NA
"R04_4";"AT33";"A";"2001";23,5;NA;NA
"R04_4";"AT33";"A";"2000";NA;"na";NA
"R04_4";"AT33";"A";"1999";23,4;NA;NA
"R04_4";"AT33";"A";"1998";NA;"na";NA
"R04_4";"AT34";"A";"2012";19;NA;NA
"R04_4";"AT34";"A";"2011";19,3;NA;NA
"R04_4";"AT34";"A";"2010";19,4;NA;NA
"R04_4";"AT34";"A";"2009";19,6;NA;NA
"R04_4";"AT34";"A";"2008";19,6;NA;NA
"R04_4";"AT34";"A";"2007";19,6;NA;NA
"R04_4";"AT34";"A";"2006";19,9;NA;NA
"R04_4";"AT34";"A";"2005";20,2;NA;NA
"R04_4";"AT34";"A";"2004";20,2;NA;NA
"R04_4";"AT34";"A";"2003";19,8;NA;NA
"R04_4";"AT34";"A";"2002";19,7;NA;NA
"R04_4";"AT34";"A";"2001";19,8;NA;NA
"R04_4";"AT34";"A";"2000";NA;"na";NA
"R04_4";"AT34";"A";"1999";19,6;NA;NA
"R04_4";"AT34";"A";"1998";NA;"na";NA
"R04_4";"CH07";"A";"2012";17,9;NA;NA
"R04_4";"CH07";"A";"2011";18,1;NA;NA
"R04_4";"CH07";"A";"2010";NA;"na";NA
"R04_4";"CH07";"A";"2009";NA;"na";NA
"R04_4";"CH07";"A";"2008";NA;"na";NA
"R04_4";"CH07";"A";"2007";NA;"na";NA
"R04_4";"CH07";"A";"2006";NA;"na";NA
"R04_4";"CH07";"A";"2005";NA;"na";NA
"R04_4";"CH07";"A";"2004";NA;"na";NA
"R04_4";"CH07";"A";"2003";NA;"na";NA
"R04_4";"CH07";"A";"2002";NA;"na";NA
"R04_4";"CH07";"A";"2001";NA;"na";NA
"R04_4";"CH07";"A";"2000";NA;"na";NA
"R04_4";"CH07";"A";"1999";NA;"na";NA
"R04_4";"CH07";"A";"1998";NA;"na";NA
"R04_4";"DE2";"A";"2012";19,1;NA;NA
"R04_4";"DE2";"A";"2011";19,4;NA;NA
"R04_4";"DE2";"A";"2010";19,7;NA;NA
"R04_4";"DE2";"A";"2009";19,8;NA;NA
"R04_4";"DE2";"A";"2008";19,9;NA;NA
"R04_4";"DE2";"A";"2007";20,1;NA;NA
"R04_4";"DE2";"A";"2006";20,2;NA;NA
"R04_4";"DE2";"A";"2005";20,1;NA;NA
"R04_4";"DE2";"A";"2004";20;NA;NA
"R04_4";"DE2";"A";"2003";19,9;NA;NA
"R04_4";"DE2";"A";"2002";19,8;NA;NA
"R04_4";"DE2";"A";"2001";20;NA;NA
"R04_4";"DE2";"A";"2000";19,7;NA;NA
"R04_4";"DE2";"A";"1999";19,8;NA;NA
"R04_4";"DE2";"A";"1998";19,7;NA;NA
"R04_4";"EU27";"A";"2012";NA;"na";NA
"R04_4";"EU27";"A";"2011";21,6;NA;NA
"R04_4";"EU27";"A";"2010";21,6;NA;NA
"R04_4";"EU27";"A";"2009";NA;"na";NA
"R04_4";"EU27";"A";"2008";NA;"na";NA
"R04_4";"EU27";"A";"2007";21,7;NA;NA
"R04_4";"EU27";"A";"2006";21,9;NA;NA
"R04_4";"EU27";"A";"2005";22,8;NA;NA
"R04_4";"EU27";"A";"2004";22,8;NA;NA
"R04_4";"EU27";"A";"2003";22,7;NA;NA
