"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2010";7,2;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2009";9,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2008";8,7;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2007";9,3;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2006";11;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2005";10,7;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2004";11,1;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2003";11,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2002";12,4;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2001";9,5;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2000";11,3;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1999";12,9;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1998";10,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1997";15,1;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1996";11,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1995";14,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1994";18,6;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2010";5,6;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2009";4,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2008";10;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2007";6,9;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2006";6,9;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2005";7,4;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2004";9;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2003";8,2;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2002";10,9;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2001";12,9;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2000";12,7;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1999";9,8;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1998";8,6;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1997";10,6;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1996";11,3;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1995";14,4;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1994";15,9;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2010";10,7;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2009";10;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2008";8,7;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2007";13,8;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2006";11,5;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2005";12,2;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2004";12,5;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2003";13,7;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2002";14,2;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2001";18,2;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"2000";21,2;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1999";16,3;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1998";19,1;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1997";13,9;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1996";17,1;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1995";21,5;NA
"V_Y85";"RT";"TOTAL";"T";"BE22";"A";"1994";19,2;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2010";6,4;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2009";6,6;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2008";5,4;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2007";7,6;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2006";11,2;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2005";7,4;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2004";7,8;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2003";11,2;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2002";14,3;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2001";14;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"2000";13;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1999";19,6;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1998";14,9;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1997";11,5;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1996";11,2;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1995";14,2;NA
"V_Y85";"RT";"TOTAL";"T";"ES13";"A";"1994";13,4;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2010";8,9;NA
